number_threads,secs_comp,secs_com,secs_total,gflops,triangles
1,2682.44,0.215855,2682.655855,0.00375165,
2,1371.42,0.214002,1371.634002,0.00733751,
4,712.852,0.278602,713.130602,0.0141129,
8,362.66,0.321203,362.981,0.027727,373810
16,190.742,0.31518,191.057,0.0526772,373810
32,118.897,0.267421,119.164,0.0844581,373810
64,110.652,0.257384,110.909,0.0907442,373810
128,109.83,0.296663,110.126,0.0913894,373810
256,108.457,0.282731,108.74,0.0925546,373810
512,109.584,0.247881,109.832,0.091634,373810
1024,130.594,0.272829,130.867,0.0769054,373810
